"Source:","/Users/phil/Documents/Kicad/arduinouno/arduinouno.sch"
"Date:","Sunday, 16 September 2018 at 09:47:21 pm"
"Tool:","Eeschema (5.0.0-3-g5ebb6b6)"
"Generator:","/private/var/folders/0l/vnx5ky0j3ts2193kl5yxnbs00000gn/T/AppTranslocation/A56F1F43-A0CA-4C13-8180-FD3DEFA6E32C/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","108"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey"
"","","C1","100u|10V","arduinouno:EEE-1AA101WR","arduinouno:C_ALUM_C_SIZE","https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1145.pdf","PCE3867TR-ND"
"","","C2","100uF|10V","arduinouno:EEE-1AA101WR","arduinouno:C_ALUM_C_SIZE","https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1145.pdf","PCE3867TR-ND"
"","","C3","10uF|16V","arduinouno:C2012X5R1C106M085AC","arduinouno:C0805x145mm","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","445-7645-1-ND"
"","","C4","100nF","arduinouno:C2012X7R1H104K085AA","arduinouno:C0805x95mm","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","445-7534-1-ND"
"","","C5","100nF","arduinouno:C2012X7R1H104K085AA","arduinouno:C0805x95mm","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","445-7534-1-ND"
"","","C6","100nF","arduinouno:C2012X7R1H104K085AA","arduinouno:C0805x95mm","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","445-7534-1-ND"
"","","C7","1uF|25V","arduinouno:C2012X5R1E105K125AA","arduinouno:C0805x95mm","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","445-1419-1-ND"
"","","C8","100nF","arduinouno:C2012X7R1H104K085AA","arduinouno:C0805x95mm","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","445-7534-1-ND"
"","","C9","18pF","arduinouno:C0805C180J1GACTU","arduinouno:C0805x95mm","https://api.kemet.com/component-edge/download/datasheet/C0805C180J1GACTU.pdf","399-8029-1-ND"
"","","C10","18pF","arduinouno:C0805C180J1GACTU","arduinouno:C0805x95mm","https://api.kemet.com/component-edge/download/datasheet/C0805C180J1GACTU.pdf","399-8029-1-ND"
"","","C11","100nF","arduinouno:C2012X7R1H104K085AA","arduinouno:C0805x95mm","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","445-7534-1-ND"
"","","C12","10uF|16V","arduinouno:C2012X5R1C106M085AC","arduinouno:C0805x145mm","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","445-7645-1-ND"
"","","C13","10uF|16V","arduinouno:C2012X5R1C106M085AC","arduinouno:C0805x145mm","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","445-7645-1-ND"
